Name, Affiliation
Daniel J Barshis,Old Dominion University
Samuel M Bashevkin,UC Davis
Rachael A Bay,UC Davis
Mark C. Bitter,"The University of Chicago, Department of Ecology and Evolution"
Daniel I Bolnick,University of Connecticut
Gideon S Bradburd,Michigan State University
Reid S Brennan,University of Vermont
Scott C Burgess,Florida State University
Brian S Cheng,University of Massachusetts Amherst
Hans G Dam,University of Connecticut
Groves B Dixon,University of Texas at Austin
Sarah C Donelan,Smithsonian Environmental Research Center
Anne-Laure C Ferchaud,Laval University
Atsushi G Fujimura,University of Guam
Cam  Ghalambor,Colorado State University
Sarah A Gignoux-Wolfsohn,Smithsonian Environmental Research Center
Matthew W Hahn,Indiana University
Torrance C Hanley,Northeastern University
Matthew P Hare,Cornell University
Cynthia G Hays,Keene State College
A. Randall R. Hughes,Northeastern University
Lee  Karp-Boss,University of Maine
Morgan  Kelley,Lousiana State University
Joanna L Kelley,Washington State University
Carly D Kenkel,University of Southern California
Andrew D Kern,University of Oregon 
Holly K Kindsvater,Rutgers University
Lisa M Komoroske,University of Massachusetts Amherst
Stacy A Krueger-Hadfield,University of Alabama at Birmingham
Katie E Lotterhos,Northeastern University Marine Science Center
Mikhail V Matz,University of Texas at Austin
Courtney J. Murren,College of Charleston
Kerry J Nickols,"California State University, Northridge"
Eric  Palkovacs,UCSD
Megan V Phifer-Rixey,Monmouth University
James M Pringle,University of New Hampshire
Adam M. Reitzel,University of North Carolina Charlotte
Cynthia  Riginos,University of Queensland
Emily B Rivest,Virginia Institute of Marine Science/College of William & Mary
Santiago  Salinas,Kalamazoo College
Matthew C Sasaki,University of Connecticut
Mary A Sewell,University of Auckland
Erik E Sotka,College of Charleston
Dan  Thornhill,NSF
Peter  Tiffin,UMN
Geoffrey C Trussell,Northeastern University
John P Wares,University of Georgia
Dowd W Wes,Washington State University
Laetitia G Wilkins,"University of California, Davis; Genome Center"
Juliet M Wong,University of California Santa Barbara
Huijie  Xue,University of Maine
Phil  Yund,Downeast Institute
  ,
  ,
